line,official_km,section,source,checked
nagoyatetsudo.meitetsu-tokoname,29.3,神宮前～常滑,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
nagoyatetsudo.meitetsu-chikko,1.5,大江～東名古屋港,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
nagoyatetsudo.meitetsu-kowa,28.8,太田川～河和,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
nagoyatetsudo.meitetsu-tsushima,11.8,須ケ口～津島,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
nagoyatetsudo.meitetsu-komaki,20.6,上飯田～犬山,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
nagoyatetsudo.meitetsu-kakamigahara,17.6,名鉄岐阜～新鵜沼,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
nagoyatetsudo.meitetsu-seto,20.6,栄町～尾張瀬戸,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
nagoyatetsudo.meitetsu-toyota,15.2,赤池～梅坪,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
nagoyatetsudo.meitetsu-mikawa,39.8,猿投～碧南,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
nagoyatetsudo.meitetsu-bisai,30.9,弥富～玉ノ井,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
nagoyatetsudo.meitetsu-takehana,10.3,笠松～江吉良,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
nagoyatetsudo.meitetsu-hiromi,22.3,犬山～御嵩,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
nagoyatetsudo.meitetsu-chita-new,13.9,富貴～内海,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
nagoyatetsudo.meitetsu-hashima,1.3,江吉良～新羽島,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
nagoyatetsudo.meitetsu-toyokawa,7.2,国府～豊川稲荷,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
kintetsu.nagoya,78.8,伊勢中川～近鉄名古屋,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
jr-tokai-kotsu-jigyo.johoku,11.2,勝川～枇杷島,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
kintetsu.osaka,108.9,伊勢中川～大阪上本町,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
kintetsu.yamada,28.3,伊勢中川～宇治山田,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
kintetsu.suzuka,8.2,伊勢若松～平田町,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
sangi-tetsudo.hokusei,20.4,西桑名～阿下喜,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
kintetsu.toba,13.2,宇治山田～鳥羽,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
kintetsu.shima,24.5,鳥羽～賢島,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
nagoya-rinkai-kosokutetsudo.aonami,15.2,名古屋～金城ふ頭,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
aichi-kosoku-kotsu.linimo,8.9,藤が丘～八草,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
yoro-tetsudo.yoro-railway-yoro,57.5,桑名～揖斐,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
iga-tetsudo.iga-railway-iga,16.6,伊賀神戸～伊賀上野,https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-2-1-2.pdf,2026-09-25
